"","donorURI","time","amount","comment","run"
"13659","/tracker/donor/46666/18",2016-07-08 11:46:01,10,"Yes","Super Mario Bros. 3 100%"
"13660","/tracker/donor/297592/18",2016-07-08 11:45:35,10,"Yes","Super Mario Bros. 3 100%"
"13661","/tracker/donor/318520/18",2016-07-08 11:45:29,30,"Yes","Super Mario Bros. 3 100%"
"13662",NA,2016-07-08 11:44:49,25,"No","Super Mario Bros. 3 100%"
"13663","/tracker/donor/260726/18",2016-07-08 11:43:41,50,"No","Super Mario Bros. 3 100%"
"13664","/tracker/donor/323183/18",2016-07-08 11:43:16,20,"Yes","Super Mario Bros. 3 100%"
"13665","/tracker/donor/323180/18",2016-07-08 11:43:13,100,"Yes","Super Mario Bros. 3 100%"
"13666","/tracker/donor/268646/18",2016-07-08 11:43:07,100,"Yes","Super Mario Bros. 3 100%"
"13667","/tracker/donor/323179/18",2016-07-08 11:43:07,20,"Yes","Super Mario Bros. 3 100%"
"13668","/tracker/donor/36710/18",2016-07-08 11:42:43,5,"Yes","Super Mario Bros. 3 100%"
"13669","/tracker/donor/29548/18",2016-07-08 11:42:30,150,"Yes","Super Mario Bros. 3 100%"
"13670","/tracker/donor/19676/18",2016-07-08 11:42:16,5,"Yes","Super Mario Bros. 3 100%"
"13671","/tracker/donor/323178/18",2016-07-08 11:42:14,15,"Yes","Super Mario Bros. 3 100%"
"13672",NA,2016-07-08 11:42:11,5,"Yes","Super Mario Bros. 3 100%"
"13673",NA,2016-07-08 11:41:42,50,"Yes","Super Mario Bros. 3 100%"
"13674","/tracker/donor/323174/18",2016-07-08 11:41:37,50,"Yes","Super Mario Bros. 3 100%"
"13675","/tracker/donor/9594/18",2016-07-08 11:41:32,50,"No","Super Mario Bros. 3 100%"
"13676","/tracker/donor/306991/18",2016-07-08 11:41:07,5,"Yes","Super Mario Bros. 3 100%"
"13677","/tracker/donor/323172/18",2016-07-08 11:41:04,25,"No","Super Mario Bros. 3 100%"
"13678","/tracker/donor/323173/18",2016-07-08 11:41:02,20,"Yes","Super Mario Bros. 3 100%"
